Design,Dt (mm),Rc (mm),P (mm),V (mL),Ren,f (Hz),xo (mm),N1,N2,N3,N4,N5,Navg,Nstd
R6,7.5,12.5,10,16.8,22.25,4,2,30,80,27,,,45.7,29.8
R6,7.5,12.5,10,16.8,22.25,5,2,20,58,22,,,33.3,21.4
R6,7.5,12.5,10,16.8,22.25,6,2,18,30,19,,,22.3,6.7
R6,7.5,12.5,10,16.8,22.25,1,3,27,32,22,,,27,5
R6,7.5,12.5,10,16.8,22.25,2,3,35,59,40,,,44.7,12.7
R6,7.5,12.5,10,16.8,22.25,3,3,36,34,40,,,36.7,3.1
R6,7.5,12.5,10,16.8,22.25,4,3,37,30,30,,,32.3,4
R6,7.5,12.5,10,16.8,22.25,5,3,37,27,30,,,31.3,5.1
R6,7.5,12.5,10,16.8,22.25,6,3,24,30,23,,,25.7,3.8
R6,7.5,12.5,10,16.8,22.25,1,4,40,37,28,,,35,6.2
R6,7.5,12.5,10,16.8,22.25,2,4,45,43,43,,,43.7,1.2
R6,7.5,12.5,10,16.8,22.25,3,4,50,41,38,,,43,6.2
R6,7.5,12.5,10,16.8,22.25,4,4,38,45,38,,,40.3,4
R6,7.5,12.5,10,16.8,22.25,5,4,32,36,32,,,33.3,2.3
R6,7.5,12.5,10,16.8,22.25,1,8,27,27,,,,27,0
R6,7.5,12.5,10,16.8,22.25,2,8,40,42,,,,41,1.4
R6,7.5,12.5,10,16.8,22.25,3,8,38,35,,,,36.5,2.1
R6,7.5,12.5,10,16.8,22.25,4,8,38,35,,,,36.5,2.1
